GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GroupProject,uk.ac.ucl.comp0010.model,Grade,0,55,0,0,0,24,0,11,0,11
GroupProject,uk.ac.ucl.comp0010.model,Module,0,50,0,0,0,20,0,10,0,10
GroupProject,uk.ac.ucl.comp0010.model,Student,0,295,0,14,0,72,0,33,0,26
GroupProject,uk.ac.ucl.comp0010.model,Registration,0,33,0,0,0,14,0,8,0,8
GroupProject,uk.ac.ucl.comp0010.exception,NoRegistrationException,0,4,0,0,0,2,0,1,0,1
GroupProject,uk.ac.ucl.comp0010.exception,NoGradeAvailableException,0,4,0,0,0,2,0,1,0,1
GroupProject,uk.ac.ucl.comp0010.config,SecurityConfig,0,66,0,0,0,12,0,4,0,4
GroupProject,uk.ac.ucl.comp0010.config,RestConfiguration,0,31,0,0,0,5,0,2,0,2
GroupProject,uk.ac.ucl.comp0010.controller,StudentController,0,151,0,0,0,33,0,9,0,9
GroupProject,uk.ac.ucl.comp0010.controller,GradeController,13,473,3,9,3,110,3,21,0,15
GroupProject,uk.ac.ucl.comp0010.controller,ModuleController,0,68,0,2,0,17,0,4,0,3
